English term
Транскрипция
Русское название
absentee voter	[ ˌæbsənˈtiː ˈvəʊtə ]	избиратель, голосующий заочно
party organizer	[ ˈpɑːti ˈɔːɡənaɪzə ] [ˌæpəˈrætʃɪk ]	партийный функционер
penalties	[ ˈpenltɪz ]	наказания
periodical with state share of participation	[ ˌpɪərɪˈɒdɪkəl wɪð steɪt ʃeər əv pɑ:ˌtɪsɪˈpeɪʃən ]	периодическое печатное издание с государственным участием
personation	[ ˌpɜːsəˈneɪʃən ]	голосование за других лиц (или голосование несколько раз)
petition	[ pɪˈtɪʃən ]	подписной лист
place of residence	[ ˈpleɪs əv ˈrezɪdəns ]	место жительства
plebiscite	[ ˈplebɪsɪt ]	плебисцит
political action committee, PAC (US)	[ pəˈlɪtɪkəl ˈækʃən kəˈmɪti ]	комитет в поддержку кандидата, партии (США)
political advertisement	[ pəˈlɪtɪkəl ədˈvɜːtɪsmənt ]	политическая реклама
political party	[ pəˈlɪtɪkəl ˈpɑːti ]	политическая партия
political propaganda	[ pəˈlɪtɪkəl ˌprɒpəˈɡændə ]	политическая пропаганда
poll clerk	[ pəʊl klɑːk ]	сотрудник участковой избирательной комиссии
poll tax (US)	[ pəʊl tæks ]	налог на голосование (США, ист.)
polling booth	[ ˈpəʊlɪŋ buːð ]	кабина для голосования
polling station, election precinct, ward	[ ˈpəʊlɪŋ ˈsteɪʃən ] [ ɪˈlekʃən ˈpriːsɪŋkt ] [ wɔːd ]	избирательный участок
postal votes, votes by mail	[ ˈpəʊstəl vəʊts ] vəʊts baɪ meɪl ]	голоса, отданные по почте
precinct election commission, polling site commission	[ ˈpriːsɪŋkt ɪˈlekʃən kəˈmɪʃən ] [ ˈpəʊlɪŋ saɪt kəˈmɪʃən ]	участковая избирательная комиссия
press-conference	[ ˈpresˌkɒnfərəns ]	пресс-конференция
primary elections (US)	[ ˈpraɪməri ɪˈlekʃənz ]	первичные выборы (США)
principle of direct suffrage	[ ˈprɪnsəpəl əv dɪˈrekt ˈsʌfrɪdʒ ]	принцип прямого избирательного права
principle of equal suffrage	[ ˈprɪnsəpəl əv ˈiːkwəl ˈsʌfrɪdʒ ]	принцип равного избирательного права
principle of universal suffrage	[ ˈprɪnsəpəl əv ˌjuːnɪˈvɜːsəl ˈsʌfrɪdʒ ]	принцип всеобщего избирательного права
principles of electoral law	[ ˈprɪnsəpəlz əv ɪˈlektərəl lɔː ]	принципы избирательного права
production or dissemination of anonymous campaign materials (administrative offence)	[ prəˈdʌkʃən ɔː dɪˌsemɪˈneɪʃən əv əˈnɒnɪməs kæmˈpeɪn məˈtɪərɪəlz ] [ ədˈmɪnɪstrətɪv əˈfens ]	изготовление или распространение анонимных агитационных материалов (административное правонарушение)
propaganda materials, campaign materials	[ ˌprɒpəˈɡændə məˈtɪərɪəlz ] kæmˈpeɪn məˈtɪərɪəlz ]	агитационные материалы
proportional election system	[ prəˈpɔːʃənəl ɪˈlekʃən ˈsɪstəm ]	пропорциональная избирательная система
prosecution	[ ˌprɒsɪˈkjuːʃən ]	судебное преследование
protocol (minutes) of election commission	[ ˈprəʊtəkɒl ˈmɪnɪts əv ɪˈlekʃən kəˈmɪʃən ]	протокол избирательной комиссии
proxy (to vote by proxy)	[ ˈprɒksi ] [tə vəʊt baɪ ˈprɒksi ]	доверенность, доверенное лицо (передать свой голос; голосовать по доверенности)
public (state) service	[ ˈpʌblɪk steɪt ˈsɜːvɪs ]	государственная служба
public (state-owned) TV and radio company	[ ˈpʌblɪk steɪt əʊnd ˌtiːˈviː ənd ˈreɪdɪəʊ ˈkʌmpəni ]	государственная телерадиокомпания
public association, party (Russia)	[ ˈpʌblɪk əˌsəʊʃiˈeɪʃən ] ˈpɑːti ]	общественное объединение (партия) (РФ)
public officials and employees	[ ˈpʌblɪk əˈfɪʃəlz ənd ˌemploɪˈiːz ]	государственные должностные лица и служащие
public servant	[ ˈpʌblɪk ˈsɜːvənt ]	государственный служащий (госслужащий)
public service announcement, PSA	[ ˈpʌblɪk ˈsɜːvɪs əˈnaʊnsmənt ]	социальная реклама
qualifications of voters (US)	[ ˌkwɒlɪfɪˈkeɪʃənz əv ˈvəʊtəz əz ]	избирательный ценз (США, ист.)
reappointment	[ ˌriːəˈpɔɪntmənt ]	повторное назначение
recall	[ rɪˈkɔːl ]	отзыв (должностного лица с места работы на родину: recall of an ambassador – отзыв на родину посла)
record of votes	[ 'rekɔːd əv vəʊts ]	учет голосов
redistricting	[ riˈdɪstrɪktɪŋ ]	изменение границ избирательных округов
referendum	[ ˌrefəˈrendəm ]	референдум
referendum ballot	[ ˌrefəˈrendəm ˈbælət ]	бюллетень для голосования на референдуме
referendum commissions	[ ˌrefəˈrendəm kəˈmɪʃənz ]	комиссии референдума
referendum decision	[ ˌrefəˈrendəm dɪˈsɪʒən ]	решение референдума
referendum fund	[ ˌrefəˈrendəm fʌnd ]	фонд для участия в референдуме
referendum in a subject of the Russian Federation	[ ˌrefəˈrendəm ɪn ə sʌbˈdʒekt əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	референдум субъекта Российской Федерации
referendum in the Russian Federation	[ ˌrefəˈrendəm ɪn ðə ˈrʌʃən ˌfedəˈreɪʃən ]	референдум Российской Федерации
referendum initiative group	[ ˌrefəˈrendəm ɪˈnɪʃətɪv ɡruːp ]	инициативная группа проведения референдума
referendum Issues	[ ˌrefəˈrendəm ˈɪʃuːz ]	вопросы референдума
referendum participant	[ ˌrefəˈrendəm pɑːˈtɪsɪpənt ]	участник референдума
referendum polling station (referendum precinct)	[ ˌrefəˈrendəm ˈpəʊlɪŋ ˈsteɪʃən] [ ˌrefəˈrendəm ˈpriːsɪŋkt ]	участок референдума
referendum propaganda	[ ˌrefəˈrendəm ˌprɒpəˈɡændə ]	агитация по вопросам референдума
regional bodies in charge of registration of Russian Citizens at the place of residence	[ ˈriːdʒənəl ˈbɒdɪz ɪn tʃɑːdʒ əv ˌredʒɪˈstreɪʃən əv ˈrʌʃən ˈsɪtɪzənz ət ðə ˈpleɪs əv ˈrezɪdəns ]	органы регистрационного учета граждан Российской Федерации по месту жительства
regional state-owned TV and radio company	[ ˈriːdʒənəl steɪt əʊnd ˌtiːˈviː ənd ˈreɪdɪəʊ ˈkʌmpəni ]	региональная государственная телерадиокомпания
registered candidate	[ ˈredʒɪstəd ˈkændɪdət ]	зарегистрированный кандидат
registration of voters	[ ˌredʒɪˈstreɪʃən əv ˈvəʊtəz ]	регистрация избирателей
rejected ballot	[ rɪˈdʒektɪd ˈbælət ]	бюллетень, признанный недействительным
repeat election	[ rɪˈpiːt ɪˈlekʃən ]	повторные выборы
repeat voting	[ rɪˈpiːt ˈvəʊtɪŋ ]	повторное голосование
representative (US Congress)	[ ˌreprɪˈzentətɪv ]	депутат, представитель в Палате представителей США
residency	[ ˈrezɪdənsi ]	место жительства
revocation of registration	[ ˌrevəˈkeɪʃən əv ˌredʒɪˈstreɪʃən ]	отмена регистрации
scheduled elections	[ ˈʃedjuːld ɪˈlekʃənz ]	очередные выборы
school board (US)	[ skuːl bɔːd ]	школьный совет (США)
scrutineer	[ ˌskruːtɪˈnɪə ]	доверенное лицо кандидата (инициативной группы избирателей)
scrutiny of the polls	[ ˈskruːtɪni əv ðə pəʊlz ]	наблюдение на избирательном участке
seat	[ siːt ]	место, мандат
secret ballot	[ ˈsiːkrɪt ˈbælət ]	тайное голосование
secret ballot principle	[ ˈsiːkrɪt ˈbælət ˈprɪnsəpəl ]	тайного голосования принцип
signature list	[ ˈsɪɡnətʃə lɪst ]	подписной лист
single mandate constituency / electoral district	[ ˈsɪŋɡəl ˈmændeɪt kənˈstɪtjʊənsi / ɪˈlektərəl ˈdɪstrɪkt ]	избирательный округ одномандатный
single transferable vote system	[ ˈsɪŋɡəl trænsˈfɜːrəbəl vəʊt ˈsɪstəm ]	система единого передаваемого голоса (Австралия)
single-mandate election constituency, district	[ ˈsɪŋɡəl ˈmændeɪt ɪˈlekʃən kənˈstɪtjʊənsi / ˈdɪstrɪkt ]	одномандатный избирательный округ
single-party government	[ ˈsɪŋɡəl ˈpɑːti ˈɡʌvənmənt ]	однопартийное правительство
special elections	[ ˈspeʃəl ɪˈlekʃənz ]	внеочередные выборы
special interest group	[ ˈspeʃəl ˈɪntrəst ɡruːp ]	группа особых интересов
spoiled ballot	[ spɔɪld ˈbælət ]	испорченный бюллетень
state	[ steɪt ]	Штат (США), государство
The State Automated System “Vybory” of the Russian Federation	[ steɪt ˈɔːtəmætɪd ˈsɪstəm ]	система ГАС «Выборы», Государственная автоматизированная система Российской Федерации «Выборы» (ГАС «Выборы»)
state election board (US)	[ steɪt ɪˈlekʃən bɔːd ]	избирательная комиссия штата (США)
status of candidates	[ ˈsteɪtəs əv ˈkændɪdəts ]	статус кандидатов
status of election commissioners	[ ˈsteɪtəs əv ɪˈlekʃən kəˈmɪʃənəz ]	статус членов избирательных комиссий
status of registered candidates	[ ˈsteɪtəs əv ˈredʒɪstəd ˈkændɪdəts ]	статус зарегистрированных кандидатов
subjects of the Russian Federation	[ səbˈdʒekts əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	субъекты Российской Федерации
Supervision and Auditing Service (Russia)	[ ˌsuːpəˈvɪʒən ənd ˈɔːdɪtɪŋ ˈsɜːvɪs ]	Контрольно-ревизионная служба (РФ)
Supreme Court	[ suːˈpriːm kɔːt ]	Верховный Суд
system administrator of election commission information center (Russia)	[ ˈsɪstəm ədˈmɪnɪstreɪtər əv ɪˈlekʃən kəˈmɪʃən ˌɪnfəˈmeɪʃən ˈsentə ]	системный администратор информационного центра избирательной комиссии (РФ)
tabulating machines	[ ˈtæbjʊleɪtɪŋ məˈʃiːnz ]	автоматические средства для подсчета голосов
tabulation of votes, vote count	[ ˌtæbjʊˈleɪʃən əv vəʊts ] vəʊt kaʊnt ]	подсчет голосов
tactical voting (UK)	[ ˈtæktɪkəl ˈvəʊtɪŋ ]	тактическое голосование (голосование за кандидата, которого избиратель не поддерживает, с целью заблокировать прохождение другого кандидата) (Великобритания)
tally	[ ˈtæli ]	итоговое число, итог, подсчет
tally sheets	[ ˈtæli ʃiːts ]	таблицы с результатами выборов
territorial election commission	[ ˌterɪˈtɔːrɪəl ɪˈlekʃən kəˈmɪʃən ]	территориальная избирательная комиссия
territory	[ ˈterɪtr̩i ]	административно-территориальное образование
the right to participate in referendum	[ ðə raɪt tə pɑːˈtɪsɪpeɪt ɪn ˌrefəˈrendəm ]	право на участие в референдуме
the right to vote	[ ðə raɪt tə vəʊt ]	(активное) избирательное право, право голоса
the right to vote, voting right	[ ðə raɪt tə vəʊt ] [ ˈvəʊtɪŋ raɪt ]	(активное) избирательное право
threshold	[ ˈθreʃhəʊld ]	процентный барьер (порог)
to challenge election results	[ tə ˈtʃæləndʒ ɪˈlekʃən rɪˈzʌlts ]	опротестовать результаты выборов
to declare elections invalid	[ tə dɪˈkleər ɪˈlekʃənz ɪnˈvælɪd ]	признавать выборы недействительными
to issue ballots to citizens to enable them to vote for other individuals (administrative offence)	[ tu ˈɪʃuː ˈbæləts tə ˈsɪtɪzənz tu ɪˈneɪbəl ðəm tə vəʊt fər ˈʌðər ˌɪndɪˈvɪdʒʊəlz ] [ ədˈmɪnɪstrətɪv əˈfens ]	выдача гражданам избирательных бюллетеней (бюллетеней для голосования) в целях предоставления им возможности голосования за других лиц (административное правонарушение)
to set election	[ tə set ɪˈlekʃən ]	назначить выборы
to set referendum	[ tə set ˌrefəˈrendəm ]	назначить референдум
transparency	[ trænsˈpærənsi ]	открытость, прозрачность
turnout	[ ˈtɜːnaʊt ]	явка
undue influence	[ ˌʌnˈdjuː ˈɪnflʊəns ]	давление на избирателей
universal suffrage	[ ˌjuːnɪˈvɜːsəl ˈsʌfrɪdʒ ]	всеобщее избирательное право, всеобщее право голоса
unmarked ballot	[ ʌnˈmɑːkt ˈbælət ]	незаполненный избирательный бюллетень
unregistered political party	[ ʌnˈredʒɪstəd pəˈlɪtɪkəl ˈpɑːti ]	незарегистрированная политическая партия
upper house	[ ˈʌpə ˈhaʊs ]	верхняя палата (парламента)
vacancies in office	[ ˈveɪkənsɪz ɪn ˈɒfɪs ]	незанятые выборные должности, вакансии
violation of the right of a citizen to review voter lists (administrative offence)	[ ˌvaɪəˈleɪʃən əv ðə raɪt əv ə ˈsɪtɪzən tə rɪˈvjuː ˈvəʊtə lɪsts ] [ ədˈmɪnɪstrətɪv əˈfens ]	нарушение права граждан на ознакомление со списком избирателей (административное правонарушение)
violation of the rights of a member of election commission / observer or foreign (international) observer (administrative offence)	[ ˌvaɪəˈleɪʃən əv ðə raɪts əv ə ˈmembər əv ɪˈlekʃən kəˈmɪʃən / əbˈzɜːvər ɔː ˈfɒrən ˌɪntəˈnæʃənəl əbˈzɜːvər ] [ ədˈmɪnɪstrətɪv əˈfens ]	нарушение прав члена избирательной комиссии, наблюдателя или иностранного (международного) наблюдателя (административное правонарушение)
violation of the terms for election campaigning in mass media (administrative offence)	[ ˌvaɪəˈleɪʃən əv ðə tɜːmz fər ɪˈlekʃən kæmˈpeɪnɪŋ ɪn mæs ˈmiːdɪər ədˈmɪnɪstrətɪv əˈfens ]	нарушение условий проведения предвыборной агитации через средства массовой информации (административное правонарушение)
vote of confidence	[ vəʊt əv ˈkɒnfɪdəns ]	вотум доверия
vote of no confidence	[ vəʊt əv nəʊ ˈkɒnfɪdəns ]	вотум недоверия
vote recount	[ vəʊt rɪˈkaʊnt ]	повторный подсчет голосов
vote returns	[ vəʊt rɪˈtɜːnz ]	итоги голосования
voter	[ ˈvəʊtə ]	избиратель
voter education	[ ˈvəʊtər ˌedʒʊˈkeɪʃən ]	просветительская работа с избирателями
voter registration	[ ˈvəʊtə ˌredʒɪˈstreɪʃən ]	регистрация (учет) избирателей
voter turnout	[ ˈvəʊtə ˈtɜːnaʊt ]	явка избирателей
voters' list	[ ˈvəʊtəz lɪst ]	список избирателей
voting card	[ ˈvəʊtɪŋ kɑːd ]	карточка для голосования
voting machines	[ ˈvəʊtɪŋ məˈʃiːnz ]	автоматические средства для голосования
voting marks	[ ˈvəʊtɪŋ mɑːks ]	отметки в избирательном бюллетене
voting outside the voting premises	[ ˈvəʊtɪŋ ˌaʊtˈsaɪd ðə ˈvəʊtɪŋ ˈpremɪsɪz ]	голосование вне помещения для голосования
voting places / facilities	[ ˈvəʊtɪŋ ˈpleɪsɪz / fəˈsɪlɪtɪz ]	места для голосования
voting premises	[ ˈvəʊtɪŋ ˈpremɪsɪz ]	помещение для голосования
voting qualification	[ ˈvəʊtɪŋ ˌkwɒlɪfɪˈkeɪʃən ]	избирательный ценз
voting system	[ ˈvəʊtɪŋ ˈsɪstəm ]	система голосования
writ	[ ˈrɪt ]	повестка (уведомление)
write-in ballot	[ ˈraɪtˈɪn ˈbælət ]	бюллетень, предполагающий внесение избирателями своих кандидатов (вопросов референдума)
write-in candidates	[ ˈraɪtˈɪn ˈkændɪdəts ]	кандидаты, вписанные в бюллетень
